sku,name,category,unit,description,reorderThreshold,maxStock,currentStock,unitCost,stockNumber,fundCluster
ITM-0001,Sample Item 1,Supplies,box,Description for item 1,2,21,1,97.00,SN-0001,102
ITM-0002,Sample Item 2,Equipment,set,Description for item 2,3,22,2,144.00,SN-0002,103
ITM-0003,Sample Item 3,Stationery,roll,Description for item 3,4,23,3,191.00,SN-0003,101
ITM-0004,Sample Item 4,IT,kg,Description for item 4,5,24,4,238.00,SN-0004,102
ITM-0005,Sample Item 5,Furniture,pcs,Description for item 5,6,25,5,285.00,SN-0005,103
ITM-0006,Sample Item 6,Supplies,box,Description for item 6,7,26,6,332.00,SN-0006,101
ITM-0007,Sample Item 7,Equipment,set,Description for item 7,8,27,7,379.00,SN-0007,102
ITM-0008,Sample Item 8,Stationery,roll,Description for item 8,9,28,8,426.00,SN-0008,103
ITM-0009,Sample Item 9,IT,kg,Description for item 9,10,29,9,473.00,SN-0009,101
ITM-0010,Sample Item 10,Furniture,pcs,Description for item 10,1,30,10,520.00,SN-0010,102
ITM-0011,Sample Item 11,Supplies,box,Description for item 11,2,31,11,567.00,SN-0011,103
ITM-0012,Sample Item 12,Equipment,set,Description for item 12,3,32,12,614.00,SN-0012,101
ITM-0013,Sample Item 13,Stationery,roll,Description for item 13,4,33,13,661.00,SN-0013,102
ITM-0014,Sample Item 14,IT,kg,Description for item 14,5,34,14,708.00,SN-0014,103
ITM-0015,Sample Item 15,Furniture,pcs,Description for item 15,6,35,15,755.00,SN-0015,101
ITM-0016,Sample Item 16,Supplies,box,Description for item 16,7,36,16,802.00,SN-0016,102
ITM-0017,Sample Item 17,Equipment,set,Description for item 17,8,37,17,849.00,SN-0017,103
ITM-0018,Sample Item 18,Stationery,roll,Description for item 18,9,38,18,896.00,SN-0018,101
ITM-0019,Sample Item 19,IT,kg,Description for item 19,10,39,19,943.00,SN-0019,102
ITM-0020,Sample Item 20,Furniture,pcs,Description for item 20,1,40,20,990.00,SN-0020,103
ITM-0021,Sample Item 21,Supplies,box,Description for item 21,2,41,21,1037.00,SN-0021,101
ITM-0022,Sample Item 22,Equipment,set,Description for item 22,3,42,22,1084.00,SN-0022,102
ITM-0023,Sample Item 23,Stationery,roll,Description for item 23,4,43,23,1131.00,SN-0023,103
ITM-0024,Sample Item 24,IT,kg,Description for item 24,5,44,24,1178.00,SN-0024,101
ITM-0025,Sample Item 25,Furniture,pcs,Description for item 25,6,45,25,1225.00,SN-0025,102
ITM-0026,Sample Item 26,Supplies,box,Description for item 26,7,46,26,1272.00,SN-0026,103
ITM-0027,Sample Item 27,Equipment,set,Description for item 27,8,47,27,1319.00,SN-0027,101
ITM-0028,Sample Item 28,Stationery,roll,Description for item 28,9,48,28,1366.00,SN-0028,102
ITM-0029,Sample Item 29,IT,kg,Description for item 29,10,49,29,1413.00,SN-0029,103
ITM-0030,Sample Item 30,Furniture,pcs,Description for item 30,1,50,30,1460.00,SN-0030,101
